,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
338,Adoption,Dog,Spayed Female,2 months,Border Collie/Labrador Retriever,Black/White
339,Transfer,Cat,Intact Female,8 months,Domestic Shorthair Mix,Blue Tabby
340,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
341,Transfer,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
342,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie
343,Return_to_owner,Dog,Intact Female,2 years,Pit Bull Mix,Fawn
344,Adoption,Dog,Neutered Male,4 months,Collie Smooth/Labrador Retriever,Tricolor
345,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
346,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lynx Point/White
347,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
348,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White
349,Adoption,Dog,Neutered Male,5 years,Plott Hound/Rhod Ridgeback,Brown Brindle
350,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
351,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
352,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
353,Adoption,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Tan/White
354,Transfer,Dog,Neutered Male,2 years,Pointer/Labrador Retriever,Black/White
355,Adoption,Dog,Spayed Female,10 months,Anatol Shepherd/Great Pyrenees,White
356,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
357,Return_to_owner,Dog,Neutered Male,1 year,Anatol Shepherd,Fawn/Black
358,Adoption,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Brown Tabby/White
359,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
360,Transfer,Dog,Spayed Female,7 years,Great Dane,Black/White
361,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
362,Euthanasia,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black/White
363,Transfer,Dog,Intact Female,3 years,Australian Cattle Dog Mix,Tricolor
364,Transfer,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
365,Adoption,Dog,Spayed Female,2 years,Chinese Sharpei/Australian Cattle Dog,Red Tick/White
366,Return_to_owner,Dog,Intact Female,12 years,Labrador Retriever Mix,Yellow
367,Adoption,Dog,Spayed Female,1 year,Flat Coat Retriever Mix,Black
368,Transfer,Dog,Neutered Male,3 years,Labrador Retriever Mix,Yellow
369,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico
370,Transfer,Dog,Unknown,6 days,Labrador Retriever Mix,White
371,Return_to_owner,Dog,Spayed Female,9 months,Rat Terrier Mix,Tricolor
372,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Black/White
373,Euthanasia,Dog,Neutered Male,2 years,Akita/Pit Bull,Tan/White
374,Return_to_owner,Dog,Neutered Male,7 years,American Bulldog Mix,White
375,Transfer,Dog,Neutered Male,4 months,Labrador Retriever Mix,Blue
376,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby
377,Return_to_owner,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,Tan
378,Adoption,Dog,Spayed Female,2 years,Pointer/Labrador Retriever,Chocolate/White
379,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
380,Adoption,Cat,Neutered Male,5 months,Siamese Mix,Flame Point
381,Adoption,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
382,Transfer,Dog,Intact Male,1 year,Labrador Retriever,Buff/Tan
383,Transfer,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Black
384,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair/Rat Terrier,White/Tan
385,Euthanasia,Dog,Intact Male,3 years,Rottweiler Mix,Black/Tan
386,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
387,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
388,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
389,Transfer,Dog,Spayed Female,2 years,Labrador Retriever,Black
390,Adoption,Dog,Neutered Male,1 year,Boxer Mix,Brown/White
391,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Blue Tabby
392,Adoption,Dog,Neutered Male,2 years,Jack Russell Terrier Mix,White/Tan
393,Return_to_owner,Dog,Intact Male,9 months,Pit Bull/Dogue De Bordeaux,Red/White
394,Adoption,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Brown
395,Euthanasia,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
396,Adoption,Dog,Neutered Male,2 years,Bernese Mountain Dog/Rottweiler,Tricolor
397,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
398,Transfer,Dog,Neutered Male,4 months,Plott Hound Mix,Brown Brindle/Red Tick
399,Return_to_owner,Dog,Intact Male,3 years,English Bulldog,Brown Brindle
400,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
401,Transfer,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby/White
402,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
403,Transfer,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/Tan
404,Return_to_owner,Dog,Spayed Female,9 years,Chihuahua Shorthair,Brown
405,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown
406,Adoption,Dog,Spayed Female,6 months,Pointer Mix,White/Blue
407,Adoption,Dog,Neutered Male,3 months,Chihuahua Longhair/Italian Greyhound,Tricolor
408,Adoption,Dog,Neutered Male,1 month,Labrador Retriever/Blue Lacy,Chocolate/White
409,Transfer,Dog,Intact Female,1 year,Yorkshire Terrier Mix,Black/Tan
410,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
411,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
412,Adoption,Cat,Intact Male,2 months,Siamese Mix,Lilac Point
413,Return_to_owner,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Blue/White
414,Return_to_owner,Dog,Neutered Male,2 years,Dachshund/Catahoula,Brown Brindle/White
415,Adoption,Dog,Neutered Male,2 months,Dachshund Wirehair Mix,Brown/Black
416,Euthanasia,Cat,Spayed Female,12 years,Domestic Longhair Mix,Tortie
417,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
418,Euthanasia,Dog,Intact Female,8 months,Labrador Retriever Mix,Black
419,Euthanasia,Cat,Intact Female,10 years,Domestic Shorthair Mix,Brown Tabby/White
420,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Orange Tabby
421,Adoption,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Buff/White
422,Return_to_owner,Dog,Neutered Male,1 year,Blue Lacy/Pit Bull,Blue/White
423,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie
424,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
425,Adoption,Cat,Spayed Female,3 months,Siamese Mix,Lilac Point
426,Adoption,Dog,Spayed Female,7 years,Miniature Poodle Mix,White
427,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Brown
428,Return_to_owner,Dog,Intact Female,4 months,Boxer Mix,Brown Brindle/White
429,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
430,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,White/Orange Tabby
431,Transfer,Cat,Spayed Female,2 years,Exotic Shorthair Mix,White/Orange Tabby
432,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
433,Transfer,Cat,Intact Female,4 days,Domestic Shorthair Mix,Torbie
434,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
435,Adoption,Cat,Spayed Female,5 months,Siamese Mix,Tortie Point
436,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
437,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
438,Euthanasia,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
439,Transfer,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Brown/Black
440,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/Tan
441,Adoption,Dog,Neutered Male,3 years,Labrador Retriever/Chinese Sharpei,Black
442,Return_to_owner,Dog,Intact Male,6 years,Basset Hound,Tricolor
443,Adoption,Dog,Intact Male,8 months,Pit Bull Mix,White/Blue
444,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
445,Return_to_owner,Dog,Neutered Male,3 years,Cocker Spaniel Mix,Yellow
446,Return_to_owner,Dog,Intact Male,4 weeks,Chihuahua Shorthair Mix,Tricolor
447,Return_to_owner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
448,Transfer,Dog,Intact Male,2 months,Australian Cattle Dog Mix,Buff/White
449,Euthanasia,Dog,Intact Male,1 year,Dachshund/Chihuahua Shorthair,Black
450,Return_to_owner,Dog,Neutered Male,5 years,Cocker Spaniel Mix,Black
451,Return_to_owner,Dog,Spayed Female,7 years,Blue Lacy/Collie Smooth,Tricolor
452,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue
453,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
454,Adoption,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
455,Adoption,Dog,Neutered Male,6 years,Miniature Poodle Mix,Buff
456,Transfer,Dog,Intact Female,2 months,Labrador Retriever Mix,Chocolate/White
457,Euthanasia,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown
458,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
459,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
460,Return_to_owner,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Tan
461,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
462,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
463,Euthanasia,Cat,Neutered Male,8 years,Siamese Mix,Lynx Point
464,Transfer,Dog,Unknown,1 week,Labrador Retriever Mix,White
465,Return_to_owner,Dog,Neutered Male,12 years,Chihuahua Shorthair Mix,White
466,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull Mix,Chocolate/White
467,Return_to_owner,Dog,Spayed Female,11 years,Norfolk Terrier/Border Terrier,Cream
468,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue Tabby/White
469,Return_to_owner,Dog,Neutered Male,2 years,Border Collie Mix,Black/White
470,Transfer,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan
471,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black
472,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
473,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,Black
474,Euthanasia,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
475,Adoption,Dog,Spayed Female,10 months,Jack Russell Terrier Mix,Tricolor
476,Return_to_owner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
477,Return_to_owner,Dog,Neutered Male,7 years,Pit Bull Mix,Red/White
478,Return_to_owner,Dog,Intact Male,3 years,Siberian Husky,Black/White
479,Return_to_owner,Dog,Spayed Female,2 years,Scottish Terrier/Cairn Terrier,Black
480,Return_to_owner,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Blue Tabby
481,Return_to_owner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Red
482,Adoption,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Calico
483,Transfer,Cat,Unknown,8 months,Domestic Shorthair Mix,Black
484,Adoption,Cat,Intact Male,3 months,Domestic Longhair Mix,Brown Tabby
485,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
486,Adoption,Cat,Spayed Female,4 months,Domestic Medium Hair Mix,Tortie/White
487,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby
488,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Tan/White
489,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
490,Adoption,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black
491,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
492,Return_to_owner,Dog,Neutered Male,5 years,Chihuahua Longhair Mix,Cream
493,Transfer,Dog,Intact Female,4 weeks,Chihuahua Shorthair Mix,White
494,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow
495,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
496,Adoption,Dog,Spayed Female,2 months,Border Collie Mix,Tricolor
497,Transfer,Dog,Intact Male,3 months,Pit Bull Mix,White/Brown
498,Return_to_owner,Dog,Intact Female,10 years,Yorkshire Terrier Mix,Black/Tricolor
499,Return_to_owner,Dog,Neutered Male,5 years,American Bulldog Mix,Tan
500,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
501,Transfer,Dog,Neutered Male,7 years,Boxer,Brown/White
502,Return_to_owner,Dog,Spayed Female,1 year,Miniature Poodle,Apricot
503,Adoption,Cat,Intact Male,3 months,Domestic Shorthair Mix,Orange Tabby
504,Return_to_owner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
505,Return_to_owner,Dog,Intact Female,3 years,Jack Russell Terrier Mix,White/Brown
506,Adoption,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Brown/Black
507,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby
508,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
509,Transfer,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby
510,Return_to_owner,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
511,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
512,Return_to_owner,Cat,Spayed Female,8 years,Russian Blue Mix,Blue
513,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie/White
514,Return_to_owner,Dog,Neutered Male,10 years,Doberman Pinsch,Black/Tan
515,Return_to_owner,Cat,Neutered Male,4 months,Devon Rex Mix,Cream
516,Return_to_owner,Dog,Neutered Male,3 years,Treeing Walker Coonhound Mix,Tricolor
517,Transfer,Dog,Intact Male,2 years,Australian Cattle Dog/Labrador Retriever,Black
518,Return_to_owner,Dog,Spayed Female,8 years,Australian Cattle Dog Mix,Sable
519,Adoption,Dog,Spayed Female,3 years,Yorkshire Terrier/Maltese,White/Gray
520,Adoption,Dog,Neutered Male,9 months,Rhod Ridgeback/Labrador Retriever,Red/Tan
521,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
522,Euthanasia,Dog,Unknown,9 years,Australian Cattle Dog/Chinese Sharpei,Tan/Brown
523,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Plott Hound,Brown Brindle
524,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby
525,Euthanasia,Cat,Intact Male,4 years,Domestic Shorthair Mix,Orange Tabby
526,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
527,Transfer,Dog,Intact Male,2 weeks,Pit Bull Mix,Brown/White
528,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
529,Adoption,Cat,Neutered Male,10 years,Domestic Medium Hair Mix,Orange Tabby/White
530,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
531,Return_to_owner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,White/Tricolor
532,Transfer,Cat,Neutered Male,6 years,Domestic Shorthair Mix,White/Cream Tabby
533,Transfer,Dog,Spayed Female,7 years,German Shepherd/Collie Rough,Brown/Black
534,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
535,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
536,Transfer,Dog,Neutered Male,5 years,Labrador Retriever Mix,Brown
537,Return_to_owner,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black/White
538,Euthanasia,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black/White
539,Euthanasia,Dog,Neutered Male,2 years,Labrador Retriever/Black Mouth Cur,Tan/White
540,Adoption,Cat,Neutered Male,2 months,Snowshoe Mix,Lynx Point
541,Adoption,Dog,Spayed Female,4 months,Chinese Sharpei/Airedale Terrier,Red
542,Euthanasia,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
543,Adoption,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black
544,Adoption,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
545,Transfer,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
546,Return_to_owner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White/Black
547,Return_to_owner,Dog,Neutered Male,3 years,Cardigan Welsh Corgi Mix,Tricolor
548,Adoption,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tan
549,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby
550,Adoption,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Black
551,Adoption,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White
552,Return_to_owner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue/White
553,Died,Cat,Intact Male,3 weeks,Snowshoe Mix,Seal Point
554,Adoption,Dog,Neutered Male,7 years,Harrier,Brown/Tricolor
555,Transfer,Cat,Intact Female,2 months,Domestic Longhair Mix,Tortie
556,Adoption,Dog,Spayed Female,4 years,Miniature Poodle/Dachshund,White/White
557,Transfer,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby/White
558,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
559,Transfer,Dog,Intact Female,1 month,Australian Kelpie Mix,Black
560,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
561,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
562,Euthanasia,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
563,Transfer,Dog,Intact Female,1 month,German Shepherd Mix,Red
564,Transfer,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
565,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
566,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
567,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,White/Black
568,Adoption,Dog,Spayed Female,12 years,Harrier Mix,Tricolor
569,Return_to_owner,Dog,Neutered Male,2 years,Anatol Shepherd,Brown/Black
570,Return_to_owner,Dog,Intact Male,9 months,American Staffordshire Terrier Mix,Fawn/White
571,Return_to_owner,Dog,Spayed Female,9 years,Basset Hound Mix,White/Brown
572,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Buff
573,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
574,Adoption,Dog,Spayed Female,5 months,Rottweiler Mix,Black/Brown
575,Adoption,Dog,Spayed Female,4 months,Mexican Hairless Mix,Tan/Black
576,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
577,Adoption,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
578,Transfer,Cat,Neutered Male,2 weeks,Domestic Shorthair Mix,Gray Tabby
579,Adoption,Dog,Neutered Male,2 months,Redbone Hound Mix,Brown/Black
580,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
581,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
582,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
583,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
584,Transfer,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Black
585,Return_to_owner,Dog,Spayed Female,2 years,Afghan Hound Mix,Tan/White
586,Return_to_owner,Dog,Neutered Male,2 years,Pointer Mix,Brown/White
587,Return_to_owner,Dog,Intact Female,3 years,Pit Bull Mix,Blue/White
588,Adoption,Dog,Spayed Female,2 months,Dachshund/Chihuahua Shorthair,Sable/White
589,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Blue Tiger/White
590,Return_to_owner,Dog,Spayed Female,5 years,Labrador Retriever Mix,Black/Brown
591,Adoption,Dog,Neutered Male,8 months,Border Collie/Greyhound,Blue/White
592,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black/White
593,Transfer,Dog,Intact Female,1 month,Miniature Poodle Mix,Black/White
594,Adoption,Dog,Spayed Female,1 year,Catahoula Mix,Yellow Brindle
595,Adoption,Dog,Neutered Male,6 years,Swedish Vallhund Mix,Sable
596,Adoption,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
597,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
598,Return_to_owner,Dog,Spayed Female,6 months,Australian Kelpie Mix,Black/Tan
599,Adoption,Dog,Intact Female,1 year,Pit Bull Mix,Blue/White
600,Transfer,Dog,Intact Female,2 weeks,Border Collie Mix,Black/White
601,Transfer,Dog,Neutered Male,2 years,Papillon/Border Collie,Black/White
602,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie/White
603,Transfer,Cat,Intact Male,5 months,Domestic Shorthair Mix,Black
604,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
605,Transfer,Dog,Spayed Female,1 year,Miniature Schnauzer/Miniature Poodle,Gray
606,Return_to_owner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue/White
607,Adoption,Dog,Neutered Male,2 months,Labrador Retriever/German Shepherd,Tan
608,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
609,Euthanasia,Dog,Intact Male,10 years,Cocker Spaniel,White/Tan
610,Adoption,Dog,Spayed Female,2 years,Boxer Mix,White/Brown Brindle
611,Adoption,Dog,Neutered Male,3 months,Border Collie Mix,Tan/White
612,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White
613,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
614,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
615,Return_to_owner,Dog,Neutered Male,7 years,Chow Chow Mix,Black
616,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
617,Transfer,Dog,Intact Female,2 years,Labrador Retriever Mix,White
618,Return_to_owner,Dog,Neutered Male,12 years,Labrador Retriever Mix,Gold
619,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White
620,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black Tabby/White
